"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1977-01","Canada","","Units","300","thousands","3","v730390","1","231.3","","","","1"
"1977-01","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.4","","","","1"
"1977-01","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.3","","","","1"
"1977-01","Nova Scotia","","Units","300","thousands","3","v730394","4","8.0","","","","1"
"1977-01","New Brunswick","","Units","300","thousands","3","v730395","5","1.8","","","","1"
"1977-01","Quebec","","Units","300","thousands","3","v730396","6","70.5","","","","1"
"1977-01","Ontario","","Units","300","thousands","3","v730397","7","70.2","","","","1"
"1977-01","Manitoba","","Units","300","thousands","3","v730398","8","10.7","","","","1"
"1977-01","Saskatchewan","","Units","300","thousands","3","v730399","9","10.0","","","","1"
"1977-01","Alberta","","Units","300","thousands","3","v730400","10","21.2","","","","1"
"1977-01","British Columbia","","Units","300","thousands","3","v730392","11","36.2","","","","1"
"1977-02","Canada","","Units","300","thousands","3","v730390","1","232.4","","","","1"
"1977-02","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.0","","","","1"
"1977-02","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.2","","","","1"
"1977-02","Nova Scotia","","Units","300","thousands","3","v730394","4","8.2","","","","1"
"1977-02","New Brunswick","","Units","300","thousands","3","v730395","5","1.7","","","","1"
"1977-02","Quebec","","Units","300","thousands","3","v730396","6","70.4","","","","1"
"1977-02","Ontario","","Units","300","thousands","3","v730397","7","77.2","","","","1"
"1977-02","Manitoba","","Units","300","thousands","3","v730398","8","6.6","","","","1"
"1977-02","Saskatchewan","","Units","300","thousands","3","v730399","9","7.3","","","","1"
"1977-02","Alberta","","Units","300","thousands","3","v730400","10","28.5","","","","1"
"1977-02","British Columbia","","Units","300","thousands","3","v730392","11","30.3","","","","1"
"1977-03","Canada","","Units","300","thousands","3","v730390","1","221.5","","","","1"
"1977-03","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","3.9","","","","1"
"1977-03","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.1","","","","1"
"1977-03","Nova Scotia","","Units","300","thousands","3","v730394","4","6.4","","","","1"
"1977-03","New Brunswick","","Units","300","thousands","3","v730395","5","2.3","","","","1"
"1977-03","Quebec","","Units","300","thousands","3","v730396","6","61.0","","","","1"
"1977-03","Ontario","","Units","300","thousands","3","v730397","7","65.4","","","","1"
"1977-03","Manitoba","","Units","300","thousands","3","v730398","8","18.9","","","","1"
"1977-03","Saskatchewan","","Units","300","thousands","3","v730399","9","11.4","","","","1"
"1977-03","Alberta","","Units","300","thousands","3","v730400","10","25.6","","","","1"
"1977-03","British Columbia","","Units","300","thousands","3","v730392","11","26.5","","","","1"
"1977-04","Canada","","Units","300","thousands","3","v730390","1","247.4","","","","1"
"1977-04","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.8","","","","1"
"1977-04","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.7","","","","1"
"1977-04","Nova Scotia","","Units","300","thousands","3","v730394","4","7.8","","","","1"
"1977-04","New Brunswick","","Units","300","thousands","3","v730395","5","5.0","","","","1"
"1977-04","Quebec","","Units","300","thousands","3","v730396","6","54.4","","","","1"
"1977-04","Ontario","","Units","300","thousands","3","v730397","7","76.6","","","","1"
"1977-04","Manitoba","","Units","300","thousands","3","v730398","8","7.4","","","","1"
"1977-04","Saskatchewan","","Units","300","thousands","3","v730399","9","14.9","","","","1"
"1977-04","Alberta","","Units","300","thousands","3","v730400","10","42.9","","","","1"
"1977-04","British Columbia","","Units","300","thousands","3","v730392","11","34.9","","","","1"
"1977-05","Canada","","Units","300","thousands","3","v730390","1","258.1","","","","1"
"1977-05","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","3.4","","","","1"
"1977-05","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.0","","","","1"
"1977-05","Nova Scotia","","Units","300","thousands","3","v730394","4","7.0","","","","1"
"1977-05","New Brunswick","","Units","300","thousands","3","v730395","5","5.5","","","","1"
"1977-05","Quebec","","Units","300","thousands","3","v730396","6","58.3","","","","1"
"1977-05","Ontario","","Units","300","thousands","3","v730397","7","82.6","","","","1"
"1977-05","Manitoba","","Units","300","thousands","3","v730398","8","8.3","","","","1"
"1977-05","Saskatchewan","","Units","300","thousands","3","v730399","9","12.6","","","","1"
"1977-05","Alberta","","Units","300","thousands","3","v730400","10","43.9","","","","1"
"1977-05","British Columbia","","Units","300","thousands","3","v730392","11","35.5","","","","1"
"1977-06","Canada","","Units","300","thousands","3","v730390","1","266.6","","","","1"
"1977-06","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","3.5","","","","1"
"1977-06","Prince Edward Island","","Units","300","thousands","3","v730393","3","1.1","","","","1"
"1977-06","Nova Scotia","","Units","300","thousands","3","v730394","4","6.6","","","","1"
"1977-06","New Brunswick","","Units","300","thousands","3","v730395","5","7.1","","","","1"
"1977-06","Quebec","","Units","300","thousands","3","v730396","6","57.8","","","","1"
"1977-06","Ontario","","Units","300","thousands","3","v730397","7","95.5","","","","1"
"1977-06","Manitoba","","Units","300","thousands","3","v730398","8","9.6","","","","1"
"1977-06","Saskatchewan","","Units","300","thousands","3","v730399","9","9.8","","","","1"
"1977-06","Alberta","","Units","300","thousands","3","v730400","10","38.6","","","","1"
"1977-06","British Columbia","","Units","300","thousands","3","v730392","11","37.0","","","","1"
"1977-07","Canada","","Units","300","thousands","3","v730390","1","260.6","","","","1"
"1977-07","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","5.4","","","","1"
"1977-07","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.8","","","","1"
"1977-07","Nova Scotia","","Units","300","thousands","3","v730394","4","5.5","","","","1"
"1977-07","New Brunswick","","Units","300","thousands","3","v730395","5","5.8","","","","1"
"1977-07","Quebec","","Units","300","thousands","3","v730396","6","63.7","","","","1"
"1977-07","Ontario","","Units","300","thousands","3","v730397","7","90.7","","","","1"
"1977-07","Manitoba","","Units","300","thousands","3","v730398","8","13.1","","","","1"
"1977-07","Saskatchewan","","Units","300","thousands","3","v730399","9","6.3","","","","1"
"1977-07","Alberta","","Units","300","thousands","3","v730400","10","37.3","","","","1"
"1977-07","British Columbia","","Units","300","thousands","3","v730392","11","32.0","","","","1"
"1977-08","Canada","","Units","300","thousands","3","v730390","1","250.9","","","","1"
"1977-08","Newfoundland and Labrador","","Units","300","thousands","3","v730391","2","2.6","","","","1"
"1977-08","Prince Edward Island","","Units","300","thousands","3","v730393","3","0.5","","","","1"
