REF_DATE,Consumption,Increasing_Rate_Cost,NHPI,Increasing_Rate_NHPI
2000-01,181096,0,57.2,0
2000-04,182693,0.88,57.6,0.7
2000-07,185049,2.18,57.9,1.22
2000-10,185287,2.31,58.3,1.92
2001-01,186897,3.2,58.7,2.62
2001-04,187365,3.46,59.2,3.5
2001-07,187822,3.71,59.6,4.2
2001-10,190349,5.11,59.9,4.72
2002-01,193199,6.68,60.4,5.59
2002-04,195539,7.98,61.4,7.34
2002-07,195925,8.19,62,8.39
2002-10,197897,9.28,62.7,9.62
2003-01,198961,9.86,63.4,10.84
2003-04,200716,10.83,64.1,12.06
2003-07,202664,11.91,64.9,13.46
2003-10,203086,12.14,65.8,15.03
2004-01,205847,13.67,66.7,16.61
2004-04,206934,14.27,67.7,18.36
2004-07,208874,15.34,68.8,20.28
2004-10,210589,16.29,69.5,21.5
2005-01,213703,18.01,70.1,22.55
2005-04,215617,19.06,71,24.13
2005-07,217159,19.91,72,25.87
2005-10,219358,21.13,73.2,27.97
2006-01,222698,22.97,74.7,30.59
2006-04,224778,24.12,76.9,34.44
2006-07,227392,25.56,79.8,39.51
2006-10,229865,26.93,81.6,42.66
2007-01,232329,28.29,82.3,43.88
2007-04,235817,30.22,83.7,46.33
2007-07,238032,31.44,85.9,50.17
2007-10,242441,33.87,86.6,51.4
2008-01,244399,34.96,87.6,53.15
2008-04,244683,35.11,88.1,54.02
2008-07,244845,35.2,88.2,54.2
2008-10,241779,33.51,87.9,53.67
2009-01,240942,33.05,87,52.1
2009-04,243231,34.31,85.5,49.48
2009-07,246004,35.84,85.4,49.3
2009-10,247753,36.81,86.1,50.52
