REF_DATE,GEO,New housing price indexes,VALUE
2000-01,Canada,Total (house and land),57.2
2000-01,Canada,House only,53.7
2000-01,Canada,Land only,66.8
2000-01,Atlantic Region,Total (house and land),62.8
2000-01,Atlantic Region,House only,64.2
2000-01,Atlantic Region,Land only,58.3
2000-01,Newfoundland and Labrador,Total (house and land),47.9
2000-01,Newfoundland and Labrador,House only,48.9
2000-01,Newfoundland and Labrador,Land only,45.1
2000-01,"St. John's, Newfoundland and Labrador",Total (house and land),47.9
2000-01,"St. John's, Newfoundland and Labrador",House only,48.9
2000-01,"St. John's, Newfoundland and Labrador",Land only,45.1
2000-01,Prince Edward Island,Total (house and land),84.2
2000-01,Prince Edward Island,House only,88.2
2000-01,Prince Edward Island,Land only,67.8
2000-01,"Charlottetown, Prince Edward Island",Total (house and land),84.2
2000-01,"Charlottetown, Prince Edward Island",House only,88.2
2000-01,"Charlottetown, Prince Edward Island",Land only,67.8
2000-01,Nova Scotia,Total (house and land),63.9
2000-01,Nova Scotia,House only,63.1
2000-01,Nova Scotia,Land only,66.4
2000-01,"Halifax, Nova Scotia",Total (house and land),63.9
2000-01,"Halifax, Nova Scotia",House only,63.1
2000-01,"Halifax, Nova Scotia",Land only,66.4
2000-01,New Brunswick,Total (house and land),78.6
2000-01,New Brunswick,House only,79.3
2000-01,New Brunswick,Land only,77.6
2000-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),78.6
2000-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,79.3
2000-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,77.6
2000-01,Quebec,Total (house and land),56.9
2000-01,Quebec,House only,58.2
2000-01,Quebec,Land only,54.2
2000-01,"Québec, Quebec",Total (house and land),57.8
2000-01,"Québec, Quebec",House only,64.1
2000-01,"Québec, Quebec",Land only,46
2000-01,"Sherbrooke, Quebec",Total (house and land),NA
2000-01,"Sherbrooke, Quebec",House only,NA
2000-01,"Sherbrooke, Quebec",Land only,NA
2000-01,"Trois-Rivières, Quebec",Total (house and land),NA
2000-01,"Trois-Rivières, Quebec",House only,NA
2000-01,"Trois-Rivières, Quebec",Land only,NA
2000-01,"Montréal, Quebec",Total (house and land),56.8
2000-01,"Montréal, Quebec",House only,57.2
2000-01,"Montréal, Quebec",Land only,56.7
2000-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),NA
2000-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,NA
2000-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,NA
2000-01,Ontario,Total (house and land),57.1
2000-01,Ontario,House only,49.3
2000-01,Ontario,Land only,78.1
2000-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),56.8
2000-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,53.3
2000-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,77.2
2000-01,"Oshawa, Ontario",Total (house and land),NA
2000-01,"Oshawa, Ontario",House only,NA
2000-01,"Oshawa, Ontario",Land only,NA
2000-01,"Toronto, Ontario",Total (house and land),54.5
2000-01,"Toronto, Ontario",House only,45
2000-01,"Toronto, Ontario",Land only,77.7
2000-01,"Hamilton, Ontario",Total (house and land),59.5
2000-01,"Hamilton, Ontario",House only,52.8
2000-01,"Hamilton, Ontario",Land only,76.8
2000-01,"St. Catharines-Niagara, Ontario",Total (house and land),60
2000-01,"St. Catharines-Niagara, Ontario",House only,55.2
2000-01,"St. Catharines-Niagara, Ontario",Land only,73.1
2000-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),63.5
2000-01,"Kitchener-Cambridge-Waterloo, Ontario",House only,57.2
2000-01,"Kitchener-Cambridge-Waterloo, Ontario",Land only,82.9
2000-01,"Guelph, Ontario",Total (house and land),NA
2000-01,"Guelph, Ontario",House only,NA
2000-01,"Guelph, Ontario",Land only,NA
2000-01,"London, Ontario",Total (house and land),62
2000-01,"London, Ontario",House only,55.6
2000-01,"London, Ontario",Land only,90.8
2000-01,"Windsor, Ontario",Total (house and land),92.4
2000-01,"Windsor, Ontario",House only,95.8
2000-01,"Windsor, Ontario",Land only,84.9
2000-01,"Greater Sudbury, Ontario",Total (house and land),82.4
2000-01,"Greater Sudbury, Ontario",House only,82.5
2000-01,"Greater Sudbury, Ontario",Land only,81.6
2000-01,Prairie Region,Total (house and land),45.4
2000-01,Prairie Region,House only,47.3
2000-01,Prairie Region,Land only,42.1
2000-01,Manitoba,Total (house and land),45
2000-01,Manitoba,House only,49.3
2000-01,Manitoba,Land only,34.8
2000-01,"Winnipeg, Manitoba",Total (house and land),45
2000-01,"Winnipeg, Manitoba",House only,49.3
2000-01,"Winnipeg, Manitoba",Land only,34.8
2000-01,Saskatchewan,Total (house and land),41.4
2000-01,Saskatchewan,House only,42.9
2000-01,Saskatchewan,Land only,37.3
2000-01,"Regina, Saskatchewan",Total (house and land),37.1
2000-01,"Regina, Saskatchewan",House only,38.4
2000-01,"Regina, Saskatchewan",Land only,33
2000-01,"Saskatoon, Saskatchewan",Total (house and land),45.4
2000-01,"Saskatoon, Saskatchewan",House only,47.4
2000-01,"Saskatoon, Saskatchewan",Land only,40.5
2000-01,Alberta,Total (house and land),46
2000-01,Alberta,House only,47.7
2000-01,Alberta,Land only,43.1
2000-01,"Calgary, Alberta",Total (house and land),42.4
2000-01,"Calgary, Alberta",House only,43.5
2000-01,"Calgary, Alberta",Land only,40.7
2000-01,"Edmonton, Alberta",Total (house and land),50.1
2000-01,"Edmonton, Alberta",House only,53.2
2000-01,"Edmonton, Alberta",Land only,44.8
2000-01,British Columbia,Total (house and land),74.3
2000-01,British Columbia,House only,71.6
2000-01,British Columbia,Land only,82.4
2000-01,"Kelowna, British Columbia",Total (house and land),NA
2000-01,"Kelowna, British Columbia",House only,NA
2000-01,"Kelowna, British Columbia",Land only,NA
2000-01,"Vancouver, British Columbia",Total (house and land),73.2
2000-01,"Vancouver, British Columbia",House only,69
2000-01,"Vancouver, British Columbia",Land only,85.9
2000-01,"Victoria, British Columbia",Total (house and land),84.1
2000-01,"Victoria, British Columbia",House only,102.4
2000-01,"Victoria, British Columbia",Land only,60.2
2000-02,Canada,Total (house and land),57.4
2000-02,Canada,House only,54
2000-02,Canada,Land only,66.8
2000-02,Atlantic Region,Total (house and land),63
2000-02,Atlantic Region,House only,64.5
2000-02,Atlantic Region,Land only,58.3
2000-02,Newfoundland and Labrador,Total (house and land),48.4
2000-02,Newfoundland and Labrador,House only,49.7
2000-02,Newfoundland and Labrador,Land only,45.1
2000-02,"St. John's, Newfoundland and Labrador",Total (house and land),48.4
2000-02,"St. John's, Newfoundland and Labrador",House only,49.7
2000-02,"St. John's, Newfoundland and Labrador",Land only,45.1
2000-02,Prince Edward Island,Total (house and land),84.2
2000-02,Prince Edward Island,House only,88.2
2000-02,Prince Edward Island,Land only,67.8
2000-02,"Charlottetown, Prince Edward Island",Total (house and land),84.2
2000-02,"Charlottetown, Prince Edward Island",House only,88.2
2000-02,"Charlottetown, Prince Edward Island",Land only,67.8
2000-02,Nova Scotia,Total (house and land),64.1
2000-02,Nova Scotia,House only,63.4
2000-02,Nova Scotia,Land only,66.4
2000-02,"Halifax, Nova Scotia",Total (house and land),64.1
2000-02,"Halifax, Nova Scotia",House only,63.4
2000-02,"Halifax, Nova Scotia",Land only,66.4
2000-02,New Brunswick,Total (house and land),78.6
2000-02,New Brunswick,House only,79.3
2000-02,New Brunswick,Land only,77.6
2000-02,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),78.6
2000-02,"Saint John, Fredericton, and Moncton, New Brunswick",House only,79.3
2000-02,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,77.6
2000-02,Quebec,Total (house and land),57
2000-02,Quebec,House only,58.3
2000-02,Quebec,Land only,54.3
2000-02,"Québec, Quebec",Total (house and land),57.8
2000-02,"Québec, Quebec",House only,64.1
2000-02,"Québec, Quebec",Land only,46
2000-02,"Sherbrooke, Quebec",Total (house and land),NA
2000-02,"Sherbrooke, Quebec",House only,NA
2000-02,"Sherbrooke, Quebec",Land only,NA
2000-02,"Trois-Rivières, Quebec",Total (house and land),NA
2000-02,"Trois-Rivières, Quebec",House only,NA
2000-02,"Trois-Rivières, Quebec",Land only,NA
2000-02,"Montréal, Quebec",Total (house and land),56.9
2000-02,"Montréal, Quebec",House only,57.3
2000-02,"Montréal, Quebec",Land only,56.8
2000-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),NA
2000-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,NA
2000-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,NA
2000-02,Ontario,Total (house and land),57.4
2000-02,Ontario,House only,49.8
2000-02,Ontario,Land only,78.1
2000-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),57.3
2000-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,53.9
2000-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,77.2
2000-02,"Oshawa, Ontario",Total (house and land),NA
2000-02,"Oshawa, Ontario",House only,NA
2000-02,"Oshawa, Ontario",Land only,NA
2000-02,"Toronto, Ontario",Total (house and land),54.8
2000-02,"Toronto, Ontario",House only,45.4
2000-02,"Toronto, Ontario",Land only,77.7
2000-02,"Hamilton, Ontario",Total (house and land),59.8
2000-02,"Hamilton, Ontario",House only,53.1
2000-02,"Hamilton, Ontario",Land only,76.8
2000-02,"St. Catharines-Niagara, Ontario",Total (house and land),60.4
2000-02,"St. Catharines-Niagara, Ontario",House only,55.8
2000-02,"St. Catharines-Niagara, Ontario",Land only,73.1
2000-02,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),64.4
2000-02,"Kitchener-Cambridge-Waterloo, Ontario",House only,58.3
2000-02,"Kitchener-Cambridge-Waterloo, Ontario",Land only,82.9
2000-02,"Guelph, Ontario",Total (house and land),NA
2000-02,"Guelph, Ontario",House only,NA
